TimeStep,NominalState1,NominalState2,NominalState3,UncompensatedState1,UncompensatedState2,UncompensatedState3,EstimatedState1,EstimatedState2,EstimatedState3,ExactState1,ExactState2,ExactState3,UncompensatedWeightedDeviation,EstimatedWeightedDeviation,ExactWeightedDeviation
41,3.74172206005765,3.36175354406219,0.606947132639035,3.73380949499633,3.35327726946477,0.643111226227622,3.74177291375794,3.36178581522726,0.606952610032893,3.74172206005765,3.36175354406219,0.606947132639035,0.0379775931568167,6.04775063257927e-05,0
42,3.67413090715188,3.30127268268149,0.59600596016606,3.66607776648155,3.29266995532169,0.632147236770075,3.67418247268134,3.30130559276413,0.596011552968197,3.67413090715188,3.30127268268149,0.59600596016606,0.0380138378390168,6.14276550406329e-05,0
43,3.60778109079432,3.24185979355043,0.585261763354235,3.59958990130423,3.23313290087718,0.621380634443994,3.60783335524263,3.2418933311071,0.585267469484885,3.60778109079432,3.24185979355043,0.585261763354235,0.0380503231233543,6.23610470705857e-05,0
44,3.54264627981135,3.18349952685493,0.574711040565786,3.53431952407138,3.1746507137548,0.610807910176281,3.54269923051428,3.18353368063522,0.574716857982515,3.54264627981135,3.18349952685493,0.574711040565786,0.0380870102543006,6.32779581417367e-05,0
45,3.47870130484583,3.12617613041256,0.564350344653253,3.47024142177126,3.11720760020694,0.60042560952113,3.47875492937846,3.12621088935805,0.56435627135031,3.47870130484583,3.12617613041256,0.564350344653253,0.0381238624875792,6.41786610161855e-05,0
46,3.41592201791871,3.06987357503258,0.554176283479947,3.40733140336523,3.0607874904169,0.590230333177504,3.41597630408923,3.06990892827524,0.55418231748763,3.41592201791871,3.06987357503258,0.554176283479947,0.0381608450069409,6.50634254007295e-05,0
47,3.35428517530358,3.01457565707586,0.544185520169663,3.34556618268494,3.00537414100883,0.580218737236016,3.35434011114748,3.01461159393617,0.544191659553688,3.35428517530358,3.01457565707586,0.544185520169663,0.0381979248437206,6.59325178582462e-05,0
48,3.29376833967978,2.96026608219799,0.534374773135977,3.28492328060196,2.9509512187476,0.570387533205508,3.29382391345447,2.96030259218288,0.534381015996855,3.29376833967978,2.96026608219799,0.534374773135977,0.0382350707991369,6.67862017371124e-05,0
49,3.23434979823104,2.9069285335657,0.524740815932646,3.22538094313774,2.89750236871739,0.560733487860855,3.23440599841078,2.90696560636618,0.524747160405071,3.23434979823104,2.9069285335657,0.524740815932646,0.0382722533693003,6.76247371013656e-05,0
50,3.17600849393585,2.85454672726415,0.515280476959369,3.16691807276114,2.84501126969581,0.551253422946217,3.17606530920689,2.85458435275294,0.515286921211612,3.17600849393585,2.85454672726415,0.515280476959369,0.0383094446728727,6.84483806776527e-05,0
51,3.11872396777421,2.80310445713987,0.505990639051126,3.10951417059906,2.79346167896749,0.541944214761956,3.11878138703031,2.8031426253688,0.505997181284438,3.11872396777421,2.80310445713987,0.505990639051126,0.0383466183813322,6.92573858029177e-05,0
52,3.06247630997115,2.75258563093328,0.496868238974373,3.05314928768087,2.74283746843049,0.532802793658497,3.06253432230918,2.75262433213071,0.4968748774224,3.06247630997115,2.75258563093328,0.496868238974373,0.03838374965178,7.00520023906899e-05,0
53,3.00724611872342,2.70297429923214,0.487910266849261,2.99780398366392,2.69312265352622,0.523826143456264,3.00730471343922,2.70301352380022,0.487916999777463,3.00724611872342,2.70297429923214,0.487910266849261,0.0384208150622301,7.08324768980148e-05,0
54,2.95301446512614,2.65425467851048,0.479113765513641,2.94345929175714,2.64430141625723,0.515011300807491,2.9530736317105,2.65429441702248,0.479120591218727,2.95301446512614,2.65425467851048,0.479113765513641,0.0384577925493213,7.15990523056793e-05,0
55,2.89976286323868,2.60641116929762,0.470475829841865,2.89009668878232,2.59635812333685,0.506355354512862,2.89982259137349,2.60645141249515,0.470482746651233,2.89976286323868,2.60641116929762,0.470475829841865,0.0384946613483839,7.2351968095204e-05,0
56,2.8474732444133,2.55942837033961,0.461993606029032,2.83769806949712,2.54927734033289,0.497855444803675,2.84753352396783,2.55946910912986,0.462000612300218,2.8474732444133,2.55942837033961,0.461993606029032,0.0385314019357925,7.3091460251143e-05,0
57,2.79612793516231,2.51329108946543,0.45366429084946,2.78624572445553,2.50304384251751,0.489508762598262,2.79618875618959,2.51333231491844,0.453671384969599,2.79612793516231,2.51329108946543,0.45366429084946,0.0385679959735462,7.38177612500437e-05,0
58,2.74570963796497,2.46798435174604,0.445485130896572,2.73572232080737,2.45764262301098,0.481312548739882,2.74577099069828,2.46802605509194,0.445492311281866,2.74570963796497,2.46798435174604,0.445485130896572,0.0386044262559999,7.45311000665825e-05,0
59,2.69620141451929,2.42349340543179,0.437453421810083,2.6861108855422,2.41305889870487,0.473264093221962,2.69626328936875,2.42353557805809,0.43746068690528,2.69620141451929,2.42349340543179,0.437453421810083,0.0386406766586884,7.52317021814805e-05,0
60,2.64758667102968,2.37980372606905,0.429566507495321,2.63739479076845,2.36927811436519,0.465360734405505,2.64764905857894,2.3798463595179,0.429573855773199,2.64758667102968,2.37980372606905,0.429566507495321,0.0386767320891685,7.59197895938943e-05,0
61,2.59984914519212,2.33690101912689,0.421821779338601,2.58955774068997,2.32628594524643,0.457599858232598,2.59991203619512,2.33694410509242,0.421829209299468,2.59984914519212,2.33690101912689,0.421821779338601,0.0387125784398221,7.65955808372027e-05,0
62,2.55297289459725,2.29477122140689,0.414216675421866,2.54258376000005,2.28406829848928,0.449978897439229,2.55303627997507,2.29481475173257,0.414224185593063,2.55297289459725,2.29477122140689,0.414216675421866,0.0387482025425472,7.72592909987566e-05,0
63,2.50694228631999,2.25340050146155,0.406748679739198,2.49645718346189,2.24261131352745,0.442495330769998,2.50700615715772,2.25344446813753,0.406756268674613,2.50694228631999,2.25340050146155,0.406748679739198,0.0387835921252773,7.79111317457614e-05,0
64,2.46174198750423,2.21277525920686,0.399415321417293,2.4511626464841,2.20190136168927,0.435146682196843,2.461806335048,2.21281965436744,0.399422987696881,2.46174198750423,2.21277525920686,0.399415321417293,0.0388187357702652,7.85513113498474e-05,0
65,2.41735695678442,2.17288212488276,0.392214173941603,2.40668507653288,2.16192504514742,0.427930520143458,2.41742177243842,2.17292694080381,0.392221916170919,2.41735695678442,2.17288212488276,0.392214173941603,0.0388536228740709,7.91800347141539e-05,0
66,2.37377243641278,2.13370795748757,0.385142854389501,2.36300968524994,2.1226691953432,0.42084445671677,2.37383771173638,2.13375318658401,0.385150671199238,2.37377243641278,2.13370795748757,0.385142854389501,0.0388882436091884,7.97975034074629e-05,0
67,2.33097394498363,2.09523984279078,0.378199022671543,2.32012196116753,2.08412087098931,0.413886146946549,2.33103967168853,2.09528547761414,0.378206912717081,2.33097394498363,2.09523984279078,0.378199022671543,0.0389225888872582,8.04039156946152e-05,0
68,2.28894727066499,2.05746509101003,0.371380380781685,2.27800766293069,2.04626735573727,0.407053288033996,2.28901344061248,2.05751112424598,0.371388342742645,2.28894727066499,2.05746509101003,0.371380380781685,0.0389566503238033,8.09994665734983e-05,0
69,2.24767846486282,2.02037123422287,0.364684672057109,2.23665281295233,2.00909615557982,0.400343618609978,2.24774507006102,2.02041765868885,0.364692704636914,2.24767846486282,2.02037123422287,0.364684672057109,0.0389904202044376,8.15843478077584e-05,0
70,2.20715383625607,1.98394602357158,0.358109680448162,2.19604369143911,1.97259499604664,0.393754918003401,2.20722086885729,1.98399283221443,0.35811778237361,2.20715383625607,1.98394602357158,0.358109680448162,0.0390238914524842,8.21587479680991e-05,0
71,2.16735994515132,1.94817742630887,0.351653229798795,2.15616683073703,1.93675181924123,0.387285005520122,2.16742739744943,1.94822461220251,0.35166139981964,2.16735994515132,1.94817742630887,0.351653229798795,0.03905705759796,8.27228524667089e-05,0
72,2.12828359811427,1.91305362272373,0.345313183137778,2.11700900995398,1.90155478075814,0.380931739732647,2.12835146254214,1.91310117906692,0.345321420026313,2.12828359811427,1.91305362272373,0.345313183137778,0.0390899127478664,8.32768436002675e-05,0
73,2.08991184284272,1.87856300297976,0.339087441980862,2.0785572498239,1.86699224651279,0.374693017780822,2.0899801119697,1.87861092309379,0.339095744531514,2.08991184284272,1.87856300297976,0.339087441980862,0.0391224515577426,8.3820900587176e-05,0
74,2.05223196325146,1.84469416389232,0.33297394564403,2.04079880778293,1.83305278951047,0.368566774683632,2.05230062978091,1.84474244121888,0.332982312672962,2.05223196325146,1.84469416389232,0.33297394564403,0.0391546692044296,8.43551996074992e-05,0
75,2.01523147474451,1.81143590566627,0.326970670567883,2.0037211732331,1.79972518657601,0.362550982662161,2.0153005315114,1.81148453376525,0.326979100912601,2.01523147474451,1.81143590566627,0.326970670567883,0.0391865613599975,8.48799138476896e-05,0
