Trial,PursuerBiasEstimate,EvaderBiasEstimate
207,0.0399926978158913,-0.00910925240410793
208,0.0400095166550453,-0.00961010222271477
209,0.0400071675245516,-0.0110786364585853
210,0.0399917500186849,-0.00922748031381148
211,0.0400016802974014,-0.0104980347281336
212,0.0400025086689036,-0.0108958735401744
213,0.0400040650104574,-0.00972467050494158
214,0.0399885861103543,-0.0107377278142618
215,0.0400009886662423,-0.00885430229785955
216,0.0400035606721429,-0.011399379649614
217,0.0399970400938869,-0.00936935620967956
218,0.0399923848774144,-0.00938013588668248
219,0.0399854788044671,-0.010176066099582
220,0.0400089886951035,-0.00919837383643566
221,0.0399829021922213,-0.0103630935061309
222,0.0399884807376741,-0.00962907590936023
223,0.0400033769596464,-0.0097943879197848
224,0.040003959346958,-0.0100583424891333
225,0.04000613817235,-0.00828422868895531
226,0.0399761575631056,-0.00961019788206972
227,0.0399991517077817,-0.00889150736930382
228,0.040008187467067,-0.010989579229093
229,0.0400020789683749,-0.00935990781462613
230,0.0399967531464064,-0.00990224793670821
231,0.0399947054363615,-0.00980691254105411
232,0.0400043495307447,-0.00983551662651113
233,0.0399952701936365,-0.0100394218933035
234,0.0400058780066874,-0.00933194882352764
235,0.0400021469518489,-0.00980861987815765
236,0.040005470983996,-0.00942774739503392
237,0.0399974237607944,-0.0102443373739256
238,0.0400013427236604,-0.00884699632037182
239,0.0400026509866254,-0.0097386011109796
240,0.0399956111637941,-0.0102445343150257
241,0.0399984591709458,-0.00907546211977972
242,0.0399919122975372,-0.010701703961042
243,0.0399917567718419,-0.00986670985101191
244,0.0399977107954232,-0.0101031618841472
245,0.0400011247447022,-0.0100237664037423
246,0.0399985285444884,-0.00928158924259657
247,0.0399861823230064,-0.0101752488292242
248,0.0400036060049392,-0.0101412070297671
249,0.039993982351492,-0.0111052929560487
250,0.0400001942651363,-0.00940567307002129
251,0.0400056781435039,-0.00948781231553361
252,0.0399940908180582,-0.00938283906135431
253,0.040000208396662,-0.0101777455130932
254,0.039997878292023,-0.00980953250025018
255,0.0399944112620539,-0.00856038596849941
256,0.0400119223774388,-0.00932684857481804
257,0.039994648795415,-0.0109283532235939
258,0.0399998516875453,-0.0101756491557651
259,0.0399912878264158,-0.0103305299012575
260,0.0399962507155109,-0.0105972759995804
261,0.0400110403620754,-0.00922899069248661
262,0.0400042417402679,-0.00977136414086735
263,0.0399900205865671,-0.0092712684838886
264,0.0400044404394336,-0.00862158612797203
265,0.0399838281693964,-0.0100841346631226
266,0.0400068212498937,-0.00917901415017344
267,0.0400029254656036,-0.0106144197109011
268,0.039991532121299,-0.00998364949073995
269,0.0399995049186064,-0.0109419315669437
270,0.0399912600258279,-0.00949380426200358
271,0.0400027393984366,-0.0103414976287156
272,0.0399999741039121,-0.00968278003960887
273,0.0399885582360054,-0.0100487967006691
274,0.0399988889469942,-0.00954536712630816
275,0.0400033314996349,-0.00999975954713892
276,0.0399958690107402,-0.0096391703288439
277,0.0399861952617513,-0.00969406337818282
278,0.0399991601463006,-0.0105093035951634
279,0.0400007931469064,-0.00987065527169182
280,0.0399979746157659,-0.00894894075237761
281,0.0400044900607765,-0.0105037789475346
282,0.0399971439883137,-0.0104487839519035
283,0.0399904747790162,-0.01022419417829
284,0.0399926810299616,-0.0106543225015115
285,0.0399931599315052,-0.0101950222543051
286,0.0400029794521527,-0.0109924653659249
287,0.0400170861764552,-0.0096685393562706
288,0.0399996358398467,-0.00910563881849741
289,0.0400010476966373,-0.0107957252197933
290,0.0400051698232454,-0.00993641452391028
291,0.0399928428545807,-0.00969051803081394
292,0.0399985902647093,-0.0108097595337288
293,0.0400019561443772,-0.0113072190099112
294,0.0400073660404659,-0.00987413329379915
295,0.0399990496547599,-0.00887816522058762
296,0.0399956340568551,-0.00979269350345867
297,0.0400003012807936,-0.00871722364741596
298,0.039995848581988,-0.00957290488373795
299,0.0400081047345873,-0.00942207005631709
300,0.0399927856618055,-0.00969304317240914
301,0.0400082216526703,-0.0102900293600583
302,0.0399931519308893,-0.0104783639586913
303,0.0399960912229379,-0.0100012499586236
304,0.040009152975693,-0.00996421082489576
305,0.0399881098555142,-0.0095397057451045
306,0.0399892713121257,-0.0091256660859565
307,0.0400077025372767,-0.0106817823115167
308,0.0400045524420695,-0.00868834801641381
309,0.0400046883211931,-0.0102449529487883
310,0.0400013967259564,-0.0102004514321094
311,0.0400109870582922,-0.0104026912659585
312,0.04000517845799,-0.0100110581250127
313,0.0399939522337048,-0.0102499205610904
314,0.0400090676070679,-0.0111612087697147
315,0.0399949942538749,-0.0108181647313046
316,0.0400021741607617,-0.00930426883190384
317,0.039989638103913,-0.0106370034371109
318,0.0399941292975013,-0.0103361447038599
319,0.0399892971266594,-0.0091418917606385
320,0.0400014484529765,-0.00927557976798646
321,0.03999997747618,-0.011003044235942
322,0.0400083786712499,-0.00931336179263934
323,0.0400109538385862,-0.00833410951543905
324,0.0400093467046055,-0.0102026099165327
325,0.0399948110760109,-0.00938060566602636
326,0.0400000661539489,-0.0102402480827796
327,0.0400087117643676,-0.0101677983007678
328,0.0400014043132909,-0.00877821579763212
329,0.0400017096675742,-0.00936302662147726
330,0.0399831556107297,-0.010296015452594
331,0.0399991745620195,-0.00971434323850253
332,0.0399953326381909,-0.00911237079994419
333,0.0400049270740412,-0.0100704740039461
334,0.0399983031024704,-0.0099831179295413
335,0.0399972288377227,-0.0111472394426074
336,0.0399922626012277,-0.00995255993892457
337,0.0399979308294648,-0.00963516149487523
338,0.040006243440122,-0.00946213341367318
339,0.0399960648757284,-0.00986954386780383
340,0.0400099501403687,-0.00994838403870748
341,0.0400071747540398,-0.010679827181143
342,0.0400158688681196,-0.0102116828427319
343,0.0400057433867135,-0.00963455597458825
344,0.0399927851089746,-0.0103588262764635
345,0.0399929645629778,-0.00961644609887988
346,0.0400181506792914,-0.00928029052387397
347,0.0399902596543333,-0.00956331079471509
348,0.0399983555692713,-0.0114425864506324
349,0.0399939943744994,-0.0110359624703647
350,0.040004272939974,-0.00976026022496681
351,0.0400017491400299,-0.0104646656514823
352,0.0400069282908182,-0.00952400835572084
353,0.0399985337821078,-0.00959049435720438
354,0.0399978576346345,-0.0109699596878823
