TimeStep,PursuerPolicyNominal,PursuerCommandNominal,PursuerRealizedNominal,PursuerPolicyUncompensated,PursuerCommandUncompensated,PursuerRealizedUncompensated,PursuerPolicyEstimated,PursuerCommandEstimated,PursuerRealizedEstimated,PursuerPolicyExact,PursuerCommandExact,PursuerRealizedExact,EvaderPolicyNominal,EvaderCommandNominal,EvaderRealizedNominal,EvaderPolicyUncompensated,EvaderCommandUncompensated,EvaderRealizedUncompensated,EvaderPolicyEstimated,EvaderCommandEstimated,EvaderRealizedEstimated,EvaderPolicyExact,EvaderCommandExact,EvaderRealizedExact
33,0.687421030445302,0.687421030445302,0.687421030445302,0.683752982180843,0.683752982180843,0.723752982180843,0.687427025917233,0.647425658888224,0.687425658888224,0.687421030445302,0.647421030445302,0.687421030445302,1.11573523289746,1.11573523289746,1.11573523289746,1.11383876905905,1.11383876905905,1.10383876905905,1.11574508962983,1.1260325271825,1.1160325271825,1.11573523289746,1.12573523289746,1.11573523289746
34,0.675033385603793,0.675033385603793,0.675033385603793,0.671339492501074,0.671339492501074,0.711339492501074,0.675039511775097,0.635038144746088,0.675038144746088,0.675033385603793,0.635033385603793,0.675033385603793,1.09560453374527,1.09560453374527,1.09560453374527,1.09366613706081,1.09366613706081,1.08366613706081,1.09561460267496,1.10590204022763,1.09590204022763,1.09560453374527,1.10560453374527,1.09560453374527
35,0.662868027714212,0.662868027714212,0.662868027714212,0.659148756093264,0.659148756093264,0.699148756093264,0.662874282232024,0.622872915203015,0.662872915203015,0.662868027714212,0.622868027714212,0.662868027714212,1.07583935109899,1.07583935109899,1.07583935109899,1.07385977671604,1.07385977671604,1.06385977671604,1.07584962839157,1.08613706594425,1.07613706594425,1.07583935109899,1.08583935109899,1.07583935109899
36,0.650921132280861,0.650921132280861,0.650921132280861,0.647176939992323,0.647176939992323,0.687176939992323,0.650927512834118,0.61092614580511,0.65092614580511,0.650921132280861,0.610921132280861,0.650921132280861,1.05643264720305,1.05643264720305,1.05643264720305,1.05441263680588,1.05441263680588,1.04441263680588,1.05644312909472,1.06673056664739,1.05673056664739,1.05643264720305,1.06643264720305,1.05643264720305
37,0.639188911904495,0.639188911904495,0.639188911904495,0.635420248493091,0.635420248493091,0.675420248493091,0.639195416223293,0.599194049194285,0.639194049194285,0.639188911904495,0.599188911904495,0.639188911904495,1.03737758905774,1.03737758905774,1.03737758905774,1.03531787108379,1.03531787108379,1.02531787108379,1.0373882718538,1.04767570940648,1.03767570940648,1.03737758905774,1.04737758905774,1.03737758905774
38,0.62766762115369,0.62766762115369,0.62766762115369,0.623874928016882,0.623874928016882,0.663874928016882,0.627674247008627,0.587672879979618,0.627672879979619,0.62766762115369,0.58766762115369,0.62766762115369,1.01866753118513,1.01866753118513,1.01866753118513,1.016568821042,1.016568821042,1.006568821042,1.01867841125854,1.02896584881121,1.01896584881121,1.01866753118513,1.02866753118513,1.01866753118513
39,0.616353560384878,0.616353560384878,0.616353560384878,0.612537270927112,0.612537270927112,0.652537270927112,0.616360305586399,0.57635893855739,0.61635893855739,0.616353560384878,0.576353560384878,0.616353560384878,1.00029600106087,1.00029600106087,1.00029600106087,0.998159001343304,0.998159001343304,0.988159001343304,1.0003070748508,1.01059451240348,1.00059451240348,1.00029600106087,1.01029600106087,1.00029600106087
40,0.605243078697579,0.605243078697579,0.605243078697579,0.601403618480468,0.601403618480468,0.641403618480468,0.605249941095317,0.565248574066308,0.605248574066308,0.605243078697579,0.565243078697579,0.605243078697579,0.982256686754212,0.982256686754212,0.982256686754212,0.980082087460254,0.980082087460254,0.970082087460254,0.982267950764782,0.992555388317456,0.982555388317456,0.982256686754212,0.992256686754212,0.982256686754212
41,0.594332576178832,0.594332576178832,0.594332576178832,0.59047036306758,0.59047036306758,0.63047036306758,0.594339553660952,0.554338186631944,0.594338186631944,0.594332576178832,0.554332576178832,0.594332576178832,0.964543426398212,0.964543426398212,0.964543426398212,0.962331905144011,0.962331905144011,0.952331905144011,0.964554877197114,0.974842314749789,0.964842314749789,0.964543426398212,0.974543426398212,0.964543426398212
42,0.583618505563999,0.583618505563999,0.583618505563999,0.579733949870305,0.579733949870305,0.619733949870305,0.583625596056545,0.543624229027536,0.583624229027536,0.583618505563999,0.543618505563998,0.583618505563999,0.947150199177368,0.947150199177368,0.947150199177368,0.944902421410303,0.944902421410303,0.934902421410303,0.947161833394667,0.957449270947342,0.947449270947342,0.947150199177368,0.957150199177368,0.947150199177368
